name,M_b_x,V_flat,M_b_y
NGC3949,,159.60564374811923,24996461900.0
NGC4051,,151.39246427901404,52404723300.0
F574-1,,91.0679497638244,9502103600.0
UGCA281,,31.063525959670123,206671800.0
F568-1,,120.8645360847955,11082512200.0
UGC07151,,67.29128014047882,2231642400.0
NGC4085,,128.59350044829068,13248246100.0
UGC10310,,65.44382024248631,2986104400.0
UGC12632,,64.31121926009669,3735461600.0
UGC05918,,38.750686039504735,641863300.0
UGC06667,,78.51893804321631,2129540100.0
NGC0055,,78.21121250725281,5082328500.0
NGC6195,,259.38247474063724,232520379000.0
F563-V1,,31.39322646979548,1849029000.0
NGC3953,,194.36855297935512,75660024800.0
UGC07261,,75.4966364341303,3331733200.0
UGC05986,,97.3123333688916,7065156300.0
UGC06923,,73.35504856290405,2876040100.0
UGC05414,,53.26827568184303,1576848600.0
DDO168,,47.84814054240775,826055700.0
UGC00731,,64.7371248764735,3357902300.0
UGC11914,,248.24258249355165,76584783200.0
UGC07399,,80.27119033816896,1895830500.0
UGC07524,,69.47899830674217,4364873100.0
UGC04325,,78.78451070998602,2212314200.0
UGC06917,,90.3689437870174,6994484700.0
UGC02916,,167.21395468662064,103244123000.0
UGC06930,,92.0348351497464,10191929300.0
D512-2,,33.15991792890729,305780900.0
UGC05764,,48.306023662630885,330830700.0
NGC3877,,149.36440526661102,38890778700.0
NGC0891,,182.4189879936606,77062831800.0
UGC04499,,62.77497398562245,2721790000.0
UGCA444,,27.950254359117658,124516300.0
F567-2,,60.046280051648814,5399036100.0
UGC06983,,90.52054673111503,7897326300.0
UGC09037,,144.40982903203962,68054021000.0
UGC07577,,15.742389403845394,100331600.0
NGC4100,,145.69545367317335,35184127800.0
NGC2683,,124.6895786689397,42694573400.0
NGC0100,,77.58596318782499,5136111000.0
NGC5005,,311.8677309678982,91624192000.0
NGC4010,,105.14290663519972,13606024800.0
NGC6946,,133.73252735663712,43116163000.0
NGC0801,,160.2559691782142,197325209000.0
NGC4389,,89.68480490356448,11617437100.0
NGC2998,,163.40321212582705,116933434000.0
NGC6789,,54.33557895724866,80071300.0
F579-V1,,92.52430636512771,9895180500.0
UGC07089,,63.732116575335226,3939944600.0
DDO064,,43.22240037508115,451737900.0
F561-1,,58.193967819213874,4907655800.0
NGC4217,,144.30174392435453,47181421800.0
F583-4,,54.83247286693919,1991364900.0
UGC11557,,83.34999170209443,10658484500.0
UGC06446,,66.84372385362641,2933313100.0
NGC5371,,165.45754634303282,189972302000.0
UGC12506,,178.33717074893363,132680535000.0
UGC05253,,159.41029064339506,114793911000.0
F568-3,,90.09718822956698,9824635500.0
NGC4559,,101.69103901260344,19967577900.0
NGC4088,,152.64167968626182,68193998000.0
UGC05829,,54.349458982427045,2091584700.0
UGC09992,,41.65509712939453,730510200.0
NGC2955,,306.664158279497,210918926000.0
IC4202,,190.45529929297172,111677988000.0
UGC06628,,55.64795050920328,4522850000.0
NGC5985,,216.74655520183308,124858502000.0
UGC07125,,74.02145767211914,9544238100.0
NGC4183,,83.93464960277487,11620763400.0
NGC3893,,143.7240533205357,39520351100.0
UGC02023,,47.77183379646641,1497765300.0
F563-V2,,95.5499487921587,5329744100.0
UGC07608,,53.79935904652369,1078361500.0
NGC1090,,123.24724878319331,51558762000.0
UGCA442,,43.55357936201806,535220700.0
F565-V2,,60.20538865560573,1515961100.0
UGC07323,,66.68678077491586,3331645800.0
NGC4157,,143.84839952228418,67360998000.0
DDO170,,46.906030496660506,1571641500.0
UGC06399,,66.40531412122454,2340238600.0
F563-1,,83.63572718024867,6611980000.0
NGC3109,,48.75752909949635,940765300.0
NGC0247,,80.75411541474774,6754499400.0
UGC08837,,37.30695595488541,816548000.0
UGC05999,,75.87188107907102,5268715800.0
UGC07603,,54.28485093643378,644376200.0
UGC08286,,69.35834243131393,1763133800.0
UGC02487,,273.1142379880415,276752764000.0
KK98-251,,28.28893356268766,245923500.0
UGC00891,,47.441073951965926,944089200.0
UGC01281,,44.09935109898791,696556600.0
IC2574,,49.428069705247054,2340580400.0
NGC3972,,104.03487225255849,9323944600.0
NGC6503,,93.79427197521323,9507461600.0
UGC02259,,65.58993491112301,1736336600.0
NGC2903,,143.04361896858552,45445732800.0
UGC00634,,83.94346677678482,7973980700.0
UGC12732,,78.62070274704698,7307674000.0
UGC02885,,209.0232807739985,272650734000.0
F571-V1,,63.77666443315815,3077251300.0
NGC7814,,184.1305584604919,39157223000.0
ESO079-G014,,135.025422025661,31420846000.0
UGC05716,,61.59916858567008,2229176600.0
F568-V1,,85.11878553373349,6318829900.0
NGC3917,,101.98198021519975,14322683200.0
NGC3992,,168.83587614245107,142828011000.0
NGC0300,,70.59889312662258,3116690400.0
NGC4013,,124.84147545010198,44795326300.0
D564-8,,20.04535666217837,67798100.0
NGC5907,,150.8440426842888,124903556000.0
NGC1003,,82.12050840694009,13811132000.0
UGC04278,,65.9011792493009,2627592400.0
NGC6015,,114.1006127260686,26384262600.0
UGC06818,,64.92713277573407,2702643100.0
ESO116-G012,,80.79818991112975,4061718700.0
NGC5033,,132.76251299410103,75267808000.0
NGC0289,,114.31655706071136,84622454000.0
NGC7331,,174.67730839467214,144892403000.0
NGC6674,,168.06837416008477,164223735000.0
UGC01230,,77.32929712640694,15184027000.0
ESO563-G021,,212.82627075434664,198568679000.0
NGC2976,,85.88886956484353,1989750800.0
F571-8,,99.92475163533013,8234179800.0
UGC00128,,79.67981203855128,19154695900.0
UGC07866,,36.49919128417969,270730200.0
NGC7793,,89.75489780766591,5048022900.0
NGC5055,,124.81752588590707,97196099000.0
UGC11820,,61.77374316679575,3982115300.0
NGC5585,,74.57464942003494,4448558700.0
F574-2,,47.63471221923828,4447398900.0
UGC03546,,133.1642246163119,55399807500.0
NGC2366,,54.420339584350586,1262478300.0
NGC3521,,163.2837695315278,49766010600.0
UGC07690,,72.42680358886719,1118871000.0
NGC4214,,73.07244596237868,1430185400.0
UGC09133,,292.9887631004024,200593736000.0
DDO161,,56.09311401866386,2711544200.0
F583-1,,65.77934897880354,4253681400.0
UGC00191,,67.75616299349389,3377632700.0
NGC3726,,119.95948151149231,46567089700.0
UGC06973,,217.8409576416016,30035881700.0
UGC11455,,192.02546048636404,210749348000.0
UGC07559,,40.5136604309082,353444100.0
UGC08699,,125.61722621872144,31763148200.0
UGC04305,,55.70697021484375,1588541000.0
UGC06787,,153.84986675321943,58025567000.0
D631-7,,53.58795331611047,610981000.0
UGC05750,,52.57426857218751,3612021100.0
UGC07232,,66.67026138305664,137869400.0
NGC3769,,82.74115889073153,19119748100.0
NGC4068,,46.92186546325684,390410600.0
UGC08550,,52.10104982523423,653943200.0
UGC05005,,65.88024613413765,7521207700.0
UGC03205,,150.68145765951675,73938632000.0
DDO154,,38.9360856644114,512947500.0
ESO444-G084,,42.93496914797116,274301500.0
NGC4138,,305.19124970285293,24678778700.0
UGC06786,,140.85641309859574,45601067000.0
NGC2841,,184.36797141299544,111351564000.0
NGC3198,,104.46626797655288,38365714000.0
UGC04483,,62.8236026763916,63104800.0
UGC03580,,89.19331880718195,14363093000.0
PGC51017,,44.90436553955078,433048900.0
UGC08490,,54.37175004840326,1782108000.0
NGC0024,,69.02550088716339,3140276400.0
CamB,,35.52931594848633,58726800.0
UGC06614,,131.72197612557778,100892630000.0
NGC2403,,153.24386816821385,10679211100.0
UGC02455,,95.69003295898438,3244926700.0
UGC02953,,169.63312278761526,143340561000.0
NGC1705,,226.37672216691595,512377100.0
NGC2915,,75.07069397353763,1219101200.0
UGC05721,,64.68906195345971,1259621800.0
NGC3741,,231.42335403122192,335939800.0
